Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Health Survey Date Under New Process,Number of Health Deficiencies on Survey Under New Process,Severity of Most Severe Deficiency Cited Under New Process,Largest Number of Residents Affected by Deficiency Cited Under New Process,Date of Previous Standard Health Inspection,Number of Health Deficiencies on Previous Standard Health Inspection,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
415039,HERITAGE HILLS NURSING & REHABILITATION CENTER,80 DOUGLAS PIKE,SMITHFIELD,RI,2917,4012312700,30,Providence,For profit - Corporation,100,88.2,Medicare and Medicaid,FALSE,80 DOUGLAS PIKE LLC,27119,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,4,,3,,4,,,,1.94028,0.51597,0.81666,1.33263,3.2729,0.04575,2.0652,0.70047,0.35156,3.11722,1.96022,0.55353,0.87122,3.37338,3/23/2018,3,Minimal Harm/Potential for Actual Harm,Few,2/20/2017,0,2/20/2017,0,0,0,0,0,0,0,3/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80 DOUGLAS PIKE SMITHFIELD, RI 02917 (41.876882, -71.471058)",10/1/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,2886,4017396600,10,Kent,For profit - Corporation,130,111.1,Medicare and Medicaid,FALSE,HARBORSIDE RHODE ISLAND LIMITED PARTNERSHIP,24473,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,2,,4,,5,,,,1.98016,0.43775,0.99834,1.43609,3.41624,0.06919,1.8743,0.66048,0.30922,2.844,2.20426,0.49804,1.21088,3.85939,12/15/2017,1,Minimal Harm/Potential for Actual Harm,Few,12/9/2016,1,12/9/2016,1,1,0,8,1,0,8,12/3/2015,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/1/2018
415087,GREENVILLE SKILLED NURSING AND REHABILITATION,735 PUTNAM PIKE,GREENVILLE,RI,2828,4019491200,30,Providence,For profit - Corporation,131,110.6,Medicare and Medicaid,FALSE,735 PUTNAM PIKE OPERATIONS LLC,33147,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,3,,5,,4,,4,,,,2.57548,0.45229,0.76398,1.21627,3.79174,0.04903,2.05777,0.71429,0.34035,3.11242,2.61134,0.47582,0.84185,3.91419,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/22/2017,2,9/22/2017,2,2,0,8,1,0,8,10/3/2016,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"735 PUTNAM PIKE GREENVILLE, RI 02828 (41.879607, -71.576368)",10/1/2018
415060,AVALON NURSING HOME,57 STOKES STREET,WARWICK,RI,2889,4017381200,10,Kent,For profit - Corporation,31,29.6,Medicare and Medicaid,FALSE,"AVALON NURSING HOME, INC.",29252,FALSE,FALSE,FALSE,FALSE,Both,Yes,3,,2,,3,,4,,5,,,,2.79693,0,0.99905,0.99905,3.79598,0.06525,2.0636,0.69053,0.30753,3.06166,2.82787,0,1.21837,3.98352,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/13/2017,2,10/13/2017,2,2,0,28,1,0,28,12/15/2016,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,"57 STOKES STREET WARWICK, RI 02889 (41.719088, -71.375566)",10/1/2018
415099,PINE GROVE HEALTH CENTER,999 SOUTH MAIN STREET,PASCOAG,RI,2859,4015683091,30,Providence,For profit - Corporation,71,51.4,Medicare and Medicaid,FALSE,BURRILLVILLE NURSING HOME INC,33482,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,5,,3,,5,,,,2.00283,0.24113,0.86611,1.10724,3.11007,0.04005,1.82225,0.68624,0.32632,2.83481,2.29319,0.26405,0.99544,3.5249,8/20/2018,1,Minimal Harm/Potential for Actual Harm,Few,8/18/2017,0,8/18/2017,1,0,1,4,0,0,4,8/29/2016,1,1,0,16,1,0,16,8.8,19,1,0,0,0,0,"999 SOUTH MAIN STREET PASCOAG, RI 02859 (41.936623, -71.681005)",10/1/2018
415057,ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,55 SCALLOP SHELL WAY,SOUTH KINGSTOWN,RI,2883,4017893006,50,Washington,For profit - Partnership,80,73,Medicare and Medicaid,FALSE,981 KINGS TOWN ROAD OPERATING COMPANY LLC,28672,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,4,,5,,,,2.39161,0.07592,1.33498,1.4109,3.80251,0.13618,2.11227,0.76144,0.36565,3.23936,2.36235,0.07492,1.36927,3.77148,7/23/2018,0,None,None,6/7/2017,0,6/7/2017,0,0,0,0,0,0,0,7/8/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55 SCALLOP SHELL WAY SOUTH KINGSTOWN, RI 02883 (41.451253, -71.490744)",10/1/2018
415106,ST ANTOINE RESIDENCE,10 RHODES AVENUE,NORTH SMITHFIELD,RI,2896,4017673500,30,Providence,Non profit - Corporation,260,232.2,Medicare and Medicaid,FALSE,SAINT ANTOINE RESIDENCE,33604,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,3,,4,,4,,,,3.06947,0.42645,0.68047,1.10692,4.17639,0.07995,2.15512,0.6897,0.30042,3.14525,2.97162,0.46463,0.8495,4.26624,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/11/2017,0,8/11/2017,0,0,0,0,0,0,0,8/25/2016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"10 RHODES AVENUE NORTH SMITHFIELD, RI 02896 (42.004302, -71.539929)",10/1/2018
415123,CORTLAND PLACE,20 AUSTIN AVENUE,GREENVILLE,RI,2828,4019493880,30,Providence,For profit - Corporation,80,76.2,Medicare and Medicaid,FALSE,"CORTLAND PLACE HEALTH CENTER, INC.",35649,TRUE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,4,,5,,,,2.69909,0.31883,0.91324,1.23208,3.93117,0.06443,2.16971,0.68434,0.33455,3.1886,2.59549,0.3501,1.02377,3.96115,1/9/2018,5,Actual Harm,Some,12/2/2016,2,12/2/2016,2,2,0,8,1,0,8,10/16/2015,4,4,0,24,1,0,24,14.4,0,1,1,9428,0,1,"20 AUSTIN AVENUE GREENVILLE, RI 02828 (41.876043, -71.555952)",10/1/2018
415110,OAKLAND GROVE HEALTH CARE CENTER,560 CUMBERLAND HILL ROAD,WOONSOCKET,RI,2895,4017690800,30,Providence,For profit - Partnership,172,153.5,Medicare and Medicaid,FALSE,OAKLAND GROVE ASSOCIATES,33547,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,3,,4,,4,,,,2.28013,0.47501,0.67758,1.15259,3.43272,0.0509,1.96606,0.70307,0.34147,3.0106,2.41972,0.5077,0.7442,3.66341,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,6/8/2017,1,6/8/2017,1,1,0,8,1,0,8,6/28/2016,3,1,2,44,1,0,44,22.4,9,3,1,2500,0,1,"560 CUMBERLAND HILL ROAD WOONSOCKET, RI 02895 (41.997813, -71.490509)",10/1/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,2919,4012313102,30,Providence,For profit - Corporation,170,164.9,Medicare and Medicaid,FALSE,"LIFE CARE CENTERS OF AMERICA, INC.",28338,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,5,,3,,4,,,,2.14789,0.69042,0.79329,1.4837,3.6316,0.10135,2.2203,0.71659,0.35039,3.28728,2.01839,0.724,0.8491,3.54945,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,11/6/2017,0,11/6/2017,2,0,2,12,0,0,12,11/16/2016,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/1/2018
415084,ELMHURST REHABILITATION & HEALTHCARE CENTER,50 MAUDE STREET,PROVIDENCE,RI,2908,4014562600,30,Providence,For profit - Partnership,206,185.5,Medicare and Medicaid,FALSE,ELMHURST OPERATOR LLC,32541,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,3,,4,,4,,,,2.42593,0.46815,0.81093,1.27907,3.70501,0.13748,2.1468,0.77993,0.40986,3.33659,2.35771,0.45105,0.74204,3.56768,3/22/2018,8,Minimal Harm/Potential for Actual Harm,Some,1/27/2017,3,1/27/2017,6,3,3,24,2,12,36,2/23/2016,5,5,0,20,1,0,20,29.6,7,1,0,0,0,0,"50 MAUDE STREET PROVIDENCE, RI 02908 (41.837291, -71.43371)",10/1/2018
415080,BAYBERRY COMMONS,181 DAVIS DRIVE,PASCOAG,RI,2859,4015680600,30,Providence,For profit - Partnership,110,92.1,Medicare and Medicaid,FALSE,BURRILLVILLE HEALTH CENTER,31148,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,4,,4,,3,,5,,,,2.00735,0.15893,0.87688,1.03581,3.04316,0.04268,2.00093,0.67947,0.33015,3.01055,2.09311,0.17577,0.99611,3.24772,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/18/2017,0,9/18/2017,0,0,0,0,0,0,0,10/12/2016,1,1,0,4,1,0,4,1.6,0,0,0,0,0,0,"181 DAVIS DRIVE PASCOAG, RI 02859 (41.936556, -71.683672)",10/1/2018
415059,ORCHARD VIEW MANOR,135 TRIPPS LANE,EAST PROVIDENCE,RI,2915,4014382250,30,Providence,For profit - Corporation,166,156.4,Medicare and Medicaid,FALSE,ATHENA ORCHARD VIEW LLC,28764,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,3,,4,,4,,,,2.39633,0.34445,0.58743,0.93188,3.32821,0.08696,1.93248,0.68406,0.31995,2.93649,2.58723,0.37839,0.68858,3.64151,6/14/2018,2,Minimal Harm/Potential for Actual Harm,Many,4/4/2017,13,4/4/2017,13,13,0,124,1,0,124,5/24/2016,5,5,0,20,1,0,20,82.4,3,0,1,29543,0,1,"135 TRIPPS LANE EAST PROVIDENCE, RI 02915 (41.790597, -71.35526)",10/1/2018
415119,BERKSHIRE PLACE,455 DOUGLAS AVENUE,PROVIDENCE,RI,2908,4015538600,30,Providence,For profit - Corporation,210,185.6,Medicare and Medicaid,FALSE,BERKSHIRE PLACE LTD.,34822,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,2,,3,,3,,,,2.11832,0.44554,0.41866,0.8642,2.98252,0.02857,1.94444,0.67163,0.31654,2.9326,2.273,0.4985,0.49604,3.26761,4/2/2018,2,Minimal Harm/Potential for Actual Harm,Some,2/14/2017,0,2/14/2017,0,0,0,0,0,0,0,4/14/2016,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"455 DOUGLAS AVENUE PROVIDENCE, RI 02908 (41.842437, -71.427587)",10/1/2018
415108,HARRIS HEALTH CARE CENTER NORTH,60 EBEN BROWN LANE,CENTRAL FALLS,RI,2863,4017226000,30,Providence,For profit - Corporation,32,28.9,Medicare and Medicaid,FALSE,"QUALITY GERONTOLOGICAL SERVICES, INC",33604,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,4,,5,,,,2.25532,0,1.10222,1.10222,3.35754,0.13876,1.85972,0.63297,0.30102,2.7937,2.53025,0,1.37328,3.86137,3/6/2018,7,Minimal Harm/Potential for Actual Harm,Many,1/27/2017,5,1/27/2017,5,5,0,16,1,0,16,3/2/2016,1,1,0,0,0,0,0,9.6,0,0,0,0,0,0,"60 EBEN BROWN LANE CENTRAL FALLS, RI 02863 (41.895924, -71.390039)",10/1/2018
415126,WINGATE ON BLACKSTONE BOULEVARD,353 BLACKSTONE BOULEVARD,PROVIDENCE,RI,2906,4012736565,30,Providence,For profit - Individual,55,36.9,Medicare,FALSE,SRC PROVIDENCE LLC,35836,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,2/27/2018,3,Minimal Harm/Potential for Actual Harm,Many,12/22/2016,3,12/22/2016,3,3,0,24,1,0,24,2/12/2016,5,5,0,32,1,0,32,27.2,0,1,0,0,0,0,"353 BLACKSTONE BOULEVARD PROVIDENCE, RI 02906 (41.847053, -71.386808)",10/1/2018
415120,APPLE REHAB CLIPPER,161 POST ROAD,WESTERLY,RI,2891,4013228081,50,Washington,For profit - Corporation,60,,Medicare and Medicaid,FALSE,THE CLIPPER HOME INC,35121,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,7/31/2018,1,Minimal Harm/Potential for Actual Harm,Many,6/15/2017,1,6/15/2017,1,1,0,0,1,0,0,7/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"161 POST ROAD WESTERLY, RI 02891 (41.350772, -71.782365)",10/1/2018
415073,JEANNE JUGAN RESIDENCE,964 MAIN STREET,PAWTUCKET,RI,2860,4017234314,30,Providence,Non profit - Corporation,46,43.5,Medicare and Medicaid,FALSE,"JEANNE JUGAN RESIDENCE OF THE LITTLE SISTERS OF THE POOR, INC.",29221,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,5,,5,,5,,,,2.93289,0.27528,1.12207,1.39735,4.33024,0.05207,1.98411,0.67021,0.30277,2.95709,3.08414,0.30865,1.3899,4.70487,2/15/2018,0,None,None,1/19/2017,0,1/19/2017,0,0,0,0,0,0,0,3/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"964 MAIN STREET PAWTUCKET, RI 02860 (41.865235, -71.399241)",10/1/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,2893,4018289000,10,Kent,For profit - Corporation,120,114.1,Medicare and Medicaid,FALSE,239 LEGRIS AVENUE OPERATIONS LLC,29252,FALSE,FALSE,FALSE,TRUE,Resident,Yes,5,,5,,5,,4,,4,,,,2.49993,0.15446,0.78236,0.93682,3.43675,0.08776,2.04554,0.71095,0.3388,3.0953,2.54989,0.16326,0.86605,3.56735,7/31/2018,2,Minimal Harm/Potential for Actual Harm,Many,5/19/2017,0,5/19/2017,0,0,0,0,0,0,0,7/8/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/1/2018
415098,HARRIS HEALTH CENTER LLC,833 BROADWAY,EAST PROVIDENCE,RI,2914,4014347404,30,Providence,For profit - Corporation,31,28.7,Medicare and Medicaid,FALSE,"HARRIS HEALTH CENTER, LLC",33420,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,2,,5,,4,,5,,,,2.33554,0.03244,1.05184,1.08428,3.41982,0.09791,1.84311,0.65254,0.3197,2.81535,2.64386,0.03736,1.23392,3.90275,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/8/2017,1,9/8/2017,1,1,0,4,1,0,4,10/6/2016,5,5,0,24,1,0,24,12,0,0,0,0,0,0,"833 BROADWAY EAST PROVIDENCE, RI 02914 (41.818844, -71.368676)",10/1/2018
415072,ELMWOOD NURSING AND REHABILITATION CENTER,225 ELMWOOD AVENUE,PROVIDENCE,RI,2907,4012720600,30,Providence,For profit - Corporation,70,65.5,Medicare and Medicaid,FALSE,ELMWOOD HEALTH CENTER INC,29068,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,5,,3,,5,,,,2.05546,0.23922,0.78365,1.02286,3.07833,0.0301,1.99614,0.67718,0.30422,2.97755,2.14843,0.26545,0.96609,3.32167,12/22/2017,0,None,None,10/19/2016,2,10/19/2016,2,2,0,16,1,0,16,11/5/2015,2,2,0,4,1,0,4,11.2,0,0,0,0,0,0,"225 ELMWOOD AVENUE PROVIDENCE, RI 02907 (41.806706, -71.424929)",10/1/2018
415045,OVERLOOK NURSING AND REHABILITATION CENTER,14 ROCK AVENUE,PASCOAG,RI,2859,4015682549,30,Providence,For profit - Corporation,100,94.3,Medicare and Medicaid,FALSE,HARKEN INC,32578,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,5/24/2018,2,Minimal Harm/Potential for Actual Harm,Many,3/24/2017,0,3/24/2017,0,0,0,0,0,0,0,5/10/2016,0,0,0,0,0,0,0,0,0,0,1,42114,0,1,"14 ROCK AVENUE PASCOAG, RI 02859 (41.955041, -71.706332)",10/1/2018
415097,MANSION NURSING AND REHAB CENTER,104 CLAY STREET,CENTRAL FALLS,RI,2863,4017220830,30,Providence,For profit - Corporation,62,51.4,Medicare and Medicaid,FALSE,"MANSION, INC",33331,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,4,,5,,,,2.137,0.26978,0.7321,1.00188,3.13888,0.05747,1.61015,0.59401,0.26989,2.47404,2.76912,0.34128,1.01735,4.07631,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/18/2017,2,8/18/2017,2,2,0,20,1,0,20,8/12/2016,2,2,0,8,1,0,8,15.2,0,0,0,0,0,0,"104 CLAY STREET CENTRAL FALLS, RI 02863 (41.883365, -71.389804)",10/1/2018
415051,SCANDINAVIAN HOME INC,1811 BROAD STREET,CRANSTON,RI,2905,4014611433,30,Providence,Non profit - Corporation,74,69.1,Medicare and Medicaid,FALSE,SCANDINAVIAN HOME INC,28307,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,5,,5,,,,3.06196,0.16057,0.85984,1.02041,4.08237,0.08544,2.05503,0.67415,0.30459,3.03377,3.10874,0.17898,1.05872,4.32343,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/15/2017,2,9/15/2017,2,2,0,12,1,0,12,9/2/2016,6,6,2,32,1,0,32,20,0,2,0,0,0,0,"1811 BROAD STREET CRANSTON, RI 02905 (41.776444, -71.399576)",10/1/2018
415050,SAINT ELIZABETH MANOR EAST BAY,1 DAWN HILL,BRISTOL,RI,2809,4012532300,0,Bristol,Non profit - Corporation,168,129.1,Medicare and Medicaid,FALSE,SAINT ELIZABETH MANOR EAST BAY,28177,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,5,,3,,5,,,,1.919,0.07261,0.77874,0.85135,2.77035,0.07454,2.09013,0.70115,0.32072,3.112,1.9156,0.07782,0.91066,2.8602,7/16/2018,5,Immediate Jeopardy,Many,5/26/2017,4,5/26/2017,4,4,0,40,1,0,40,7/8/2016,0,0,0,0,0,0,0,24,3,0,1,13627,0,1,"1 DAWN HILL BRISTOL, RI 02809 (41.689081, -71.264478)",10/1/2018
415085,MOUNT ST RITA HEALTH CENTRE,15 SUMNER BROWN ROAD,CUMBERLAND,RI,2864,4013336352,30,Providence,Non profit - Church related,98,91.2,Medicare and Medicaid,FALSE,MOUNT ST. RITA HEALTH CENTRE,32919,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,5,,3,,5,,,,1.79286,0.5759,0.83556,1.41146,3.20432,0.08368,1.95218,0.7056,0.34641,3.00418,1.91615,0.61332,0.90463,3.42696,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/6/2017,9,10/6/2017,9,9,0,44,1,0,44,10/21/2016,7,7,0,28,1,0,28,37.6,0,0,0,0,0,0,"15 SUMNER BROWN ROAD CUMBERLAND, RI 02864 (42.014587, -71.411384)",10/1/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,2861,4017227900,30,Providence,For profit - Corporation,154,122.6,Medicare and Medicaid,FALSE,70 GILL AVENUE OPERATIONS LLC,29190,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,5,,4,,4,,,,2.75754,0.55463,0.58131,1.13594,3.89348,0.04762,2.0544,0.73831,0.36968,3.16239,2.80053,0.5645,0.58975,3.9557,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/27/2017,0,10/27/2017,2,0,2,24,0,0,24,11/16/2016,4,4,0,32,1,0,32,27.2,0,3,1,7803,0,1,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/1/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,2885,4012452860,0,Bristol,For profit - Corporation,63,39.5,Medicare and Medicaid,FALSE,642 METACOM AVENUE OPERATIONS LLC,28779,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,4,,4,,5,,,,2.00425,0.69151,0.99961,1.69112,3.69537,0.16004,1.948,0.69055,0.34896,2.98751,2.14667,0.75249,1.07434,3.97419,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/26/2017,3,10/26/2017,3,3,0,16,1,0,16,1/6/2017,3,2,1,16,1,0,16,16,1,0,0,0,0,0,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/1/2018
415091,STEERE HOUSE NURSING AND REHABILITATION CTR,100 BORDEN STREET,PROVIDENCE,RI,2903,4014547970,30,Providence,Non profit - Corporation,120,112.7,Medicare and Medicaid,FALSE,STEERE HOUSE,33359,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,5,,5,,,,3.05939,0.44875,0.88793,1.33668,4.39607,0.05172,2.08365,0.64338,0.28084,3.00787,3.06347,0.52412,1.18579,4.69576,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,11/24/2017,0,11/24/2017,0,0,0,0,0,0,0,12/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100 BORDEN STREET PROVIDENCE, RI 02903 (41.813327, -71.411652)",10/1/2018
415104,ROBERTS HEALTH CENTRE INC,25 ROBERTS WAY,NORTH KINGSTOWN,RI,2852,4012943587,50,Washington,For profit - Corporation,66,62.2,Medicare and Medicaid,FALSE,"ROBERTS HEALTH CENTRE, INC.",33604,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,3,,5,,5,,,,2.52969,0.16553,1.1244,1.28994,3.81962,0.05293,1.82933,0.63279,0.28522,2.74734,2.88521,0.19657,1.47849,4.46692,6/11/2018,1,Minimal Harm/Potential for Actual Harm,Few,6/15/2017,1,6/15/2017,1,1,0,16,1,0,16,6/20/2016,2,2,0,12,1,0,12,14.4,0,0,0,0,0,0,"25 ROBERTS WAY NORTH KINGSTOWN, RI 02852 (41.579963, -71.493345)",10/1/2018
415061,BRENTWOOD NURSING HOME,4000 POST ROAD,WARWICK,RI,2886,4018848000,10,Kent,For profit - Corporation,96,91.5,Medicare and Medicaid,FALSE,"BRENTWOOD HEALTH CENTER, LTD",29037,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,4,,4,,5,,,,2.19977,0.43389,0.90682,1.34072,3.54048,0.06713,2.03299,0.70684,0.3424,3.08223,2.25758,0.46128,0.99328,3.6906,5/15/2018,4,Minimal Harm/Potential for Actual Harm,Many,3/16/2017,0,3/16/2017,0,0,0,0,0,0,0,4/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4000 POST ROAD WARWICK, RI 02886 (41.682399, -71.450804)",10/1/2018
415090,LINN HEALTH CARE CENTER,30 ALEXANDER AVENUE,EAST PROVIDENCE,RI,2914,4014387210,30,Providence,Non profit - Corporation,84,70.8,Medicare and Medicaid,FALSE,UNITED METHODIST HEALTH CARE CENTER,33359,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,3,,5,,4,,5,,,,2.65217,0.16994,0.81284,0.98278,3.63494,0.07248,1.99316,0.71377,0.34503,3.05196,2.77626,0.17891,0.88355,3.82665,12/7/2017,1,Minimal Harm/Potential for Actual Harm,Few,11/23/2016,2,11/23/2016,2,2,0,8,1,0,8,11/13/2015,1,1,0,4,1,0,4,6.4,0,0,0,0,0,0,"30 ALEXANDER AVENUE EAST PROVIDENCE, RI 02914 (41.822001, -71.364964)",10/1/2018
415107,KINGSTON CENTER FOR REHABILITATION AND HEALTH CARE,415 GARDNER ROAD,WEST KINGSTON,RI,2892,4012958520,50,Washington,For profit - Corporation,55,39.7,Medicare and Medicaid,FALSE,SHADY ACRES OPERATIONS ASSOC LLC,33604,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,4,,4,,5,,,,1.98975,0.3565,1.12191,1.47841,3.46816,0.33948,1.94421,0.70999,0.36481,3.01901,2.13529,0.37732,1.15338,3.69092,7/31/2018,8,Minimal Harm/Potential for Actual Harm,Many,6/22/2017,4,6/22/2017,5,4,1,52,1,0,52,7/14/2016,4,4,1,24,1,0,24,40.8,2,2,0,0,0,0,"415 GARDNER ROAD WEST KINGSTON, RI 02892 (41.547003, -71.61733)",10/1/2018
415042,WATERVIEW VILLA REHABILITATION AND HEALTH CARE CEN,1275 SOUTH BROADWAY,EAST PROVIDENCE,RI,2914,4014387020,30,Providence,For profit - Corporation,132,124.6,Medicare and Medicaid,FALSE,"WATERVIEW RI SNF, LLC",27851,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,5,,3,,4,,,,2.41012,0.38834,0.6287,1.01704,3.42715,0.09391,2.15152,0.74861,0.37494,3.27508,2.3372,0.38981,0.62887,3.36211,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,6/22/2017,0,6/22/2017,0,0,0,0,0,0,0,7/14/2016,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"1275 SOUTH BROADWAY EAST PROVIDENCE, RI 02914 (41.806739, -71.372727)",10/1/2018
