Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
415035,HOPKINS MANOR LTD,610 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,02904,MANAGING EMPLOYEE,Individual,"LEVESQUE, MARK",NOT APPLICABLE,since 03/01/2006,"610 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.864997, -71.467306)",10/01/2018
415091,STEERE HOUSE NURSING AND REHABILITATION CTR,100 BORDEN STREET,PROVIDENCE,RI,02903,MANAGING EMPLOYEE,Individual,"PLANTE, NICOLE",NOT APPLICABLE,since 03/30/2015,"100 BORDEN STREET PROVIDENCE, RI 02903 (41.813327, -71.411652)",10/01/2018
415099,PINE GROVE HEALTH CENTER,999 SOUTH MAIN STREET,PASCOAG,RI,02859,OPERATIONAL/MANAGERIAL CONTROL,Individual,"GAGE, JOHN",NOT APPLICABLE,since 08/01/2006,"999 SOUTH MAIN STREET PASCOAG, RI 02859 (41.936623, -71.681005)",10/01/2018
415044,FRIENDLY HOME INC THE,303 RHODES AVENUE,WOONSOCKET,RI,02895,DIRECTOR,Individual,"EPP, KATHARINE",NOT APPLICABLE,since 01/01/1979,"303 RHODES AVENUE WOONSOCKET, RI 02895 (42.005585, -71.533652)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,GENESIS OPERATIONS LLC,NO PERCENTAGE PROVIDED,since 04/01/2011,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415035,HOPKINS MANOR LTD,610 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"FORCIER, ROBERT",10%,since 01/01/2006,"610 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.864997, -71.467306)",10/01/2018
415083,EASTGATE NURSING & REHABILITATION CENTER,198 WATERMAN AVENUE,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"RYAN, KEVIN",NOT APPLICABLE,since 09/01/2012,"198 WATERMAN AVENUE EAST PROVIDENCE, RI 02914 (41.822023, -71.371287)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,OFFICER,Individual,"CROOKS, JOANNA",NOT APPLICABLE,since 08/19/2009,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,02893,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"GELLIS, LOUIS",NO PERCENTAGE PROVIDED,since 07/17/2017,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,DIRECTOR,Individual,"WHITMAN, ARNOLD",NOT APPLICABLE,since 12/31/2011,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"CORNING, NATHAN",NO PERCENTAGE PROVIDED,since 09/09/1977,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/01/2018
415054,SOUTH KINGSTOWN NURSING AND REHAB CTR,"2115 SOUTH COUNTY TRAIL, PO BOX 307",WEST KINGSTON,RI,02892,DIRECTOR,Individual,"RYAN, DAVID",NOT APPLICABLE,since 01/27/2000,"2115 SOUTH COUNTY TRAIL WEST KINGSTON, RI 02892 (41.50255, -71.561723)",10/01/2018
415023,SUNNY VIEW NURSING HOME INC,83 CORONA STREET,WARWICK,RI,02886,MANAGING EMPLOYEE,Individual,"MAGUIRE, DEBRA",NOT APPLICABLE,since 01/01/2014,"83 CORONA STREET WARWICK, RI 02886 (41.723183, -71.459285)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,OFFICER,Individual,"CULLEROT, KEN",NOT APPLICABLE,since 12/01/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FISHMAN, STEVEN",NO PERCENTAGE PROVIDED,since 12/31/2011,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415087,GREENVILLE SKILLED NURSING AND REHABILITATION,735 PUTNAM PIKE,GREENVILLE,RI,02828,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 01/01/2012,"735 PUTNAM PIKE GREENVILLE, RI 02828 (41.879607, -71.576368)",10/01/2018
415083,EASTGATE NURSING & REHABILITATION CENTER,198 WATERMAN AVENUE,EAST PROVIDENCE,RI,02914,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"RYAN, KEVIN",33%,since 09/01/2012,"198 WATERMAN AVENUE EAST PROVIDENCE, RI 02914 (41.822023, -71.371287)",10/01/2018
415057,ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,55 SCALLOP SHELL WAY,SOUTH KINGSTOWN,RI,02883,OPERATIONAL/MANAGERIAL CONTROL,Individual,"QUILLARD, PHILIP",NOT APPLICABLE,since 03/01/2016,"55 SCALLOP SHELL WAY SOUTH KINGSTOWN, RI 02883 (41.451253, -71.490744)",10/01/2018
415072,ELMWOOD NURSING AND REHABILITATION CENTER,225 ELMWOOD AVENUE,PROVIDENCE,RI,02907,OFFICER,Individual,"CARRAGHER, TERRY",NOT APPLICABLE,since 01/01/2004,"225 ELMWOOD AVENUE PROVIDENCE, RI 02907 (41.806706, -71.424929)",10/01/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,02893,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,RI SKILLED INV MGMT LLC,NO PERCENTAGE PROVIDED,since 10/05/2017,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 12/01/2012,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415033,HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,398 BELLEVUE AVENUE,NEWPORT,RI,02840,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"BOVE, JAMES",NO PERCENTAGE PROVIDED,since 05/01/2014,"398 BELLEVUE AVENUE NEWPORT, RI 02840 (41.477036, -71.307969)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,DIRECTOR,Individual,"FISHMAN, STEVEN",NOT APPLICABLE,since 12/31/2011,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,OFFICER,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 12/01/2012,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415062,MORGAN HEALTH CENTER,80 MORGAN AVENUE,JOHNSTON,RI,02919,OFFICER,Individual,"RYAN, SALLY",NOT APPLICABLE,since 11/29/1977,"80 MORGAN AVENUE JOHNSTON, RI 02919 (41.802319, -71.474736)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS I, LLC",NO PERCENTAGE PROVIDED,since 01/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HCCF MANAGEMENT GROUP XI LLC,NO PERCENTAGE PROVIDED,since 12/31/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,DIRECTOR,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 04/01/2011,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415074,VILLAGE HOUSE CONVALESCENT HOME INC,70 HARRISON AVENUE,NEWPORT,RI,02840,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"RYAN, SALLY",NO PERCENTAGE PROVIDED,since 01/01/1974,"70 HARRISON AVENUE NEWPORT, RI 02840 (41.471447, -71.322583)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415096,BETHANY HOME OF RHODE ISLAND,111 SOUTH ANGELL STREET,PROVIDENCE,RI,02906,DIRECTOR,Individual,"WHEELER, ELIZABETH",NOT APPLICABLE,since 06/21/2014,"111 SOUTH ANGELL STREET PROVIDENCE, RI 02906 (41.829129, -71.383212)",10/01/2018
415049,HEBERT NURSING HOME,180 LOG ROAD,SMITHFIELD,RI,02917,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,ASLC OPCO RI II LLC,NO PERCENTAGE PROVIDED,since 07/09/2010,"180 LOG ROAD SMITHFIELD, RI 02917 (41.910336, -71.551313)",10/01/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"KRAFT, ROBERT",NO PERCENTAGE PROVIDED,since 09/09/1977,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/01/2018
415029,GOLDEN CREST NURSING CENTRE,100 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"PEZZELLI, NORMA",100%,since 09/01/1969,"100 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.856041, -71.44898)",10/01/2018
415031,SILVER CREEK MANOR,7 CREEK LANE,BRISTOL,RI,02809,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"CIOCIOLA, KIMBERLY",NO PERCENTAGE PROVIDED,since 05/01/2013,"7 CREEK LANE BRISTOL, RI 02809 (41.679532, -71.277212)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SUN HEALTHCARE GROUP, INC.",NO PERCENTAGE PROVIDED,since 02/02/2015,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415024,HALLWORTH HOUSE,66 BENEFIT STREET,PROVIDENCE,RI,02904,DIRECTOR,Individual,"SLOAN, WILLIAM",NOT APPLICABLE,since 12/14/2007,"66 BENEFIT STREET PROVIDENCE, RI 02904 (41.831856, -71.409359)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HCCF MANAGEMENT GROUP XI LLC,NO PERCENTAGE PROVIDED,since 12/31/2011,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,OFFICER,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 12/01/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 01/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,DIRECTOR,Individual,"WHITMAN, ARNOLD",NOT APPLICABLE,since 12/31/2011,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415014,GRACE BARKER NURSING CENTER,54 BARKER AVENUE,WARREN,RI,02885,MANAGING EMPLOYEE,Individual,"LESCAULT, MARY",NOT APPLICABLE,since 03/31/2006,"54 BARKER AVENUE WARREN, RI 02885 (41.727711, -71.26429)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,MANAGING EMPLOYEE,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 04/01/2011,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,02893,OPERATIONAL/MANAGERIAL CONTROL,Organization,EDEN HEALTHCARE LLC,NOT APPLICABLE,since 02/01/2018,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/01/2018
415035,HOPKINS MANOR LTD,610 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,ESTATE OF RONALD ROBIDOUX,34%,since 06/01/1978,"610 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.864997, -71.467306)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,OFFICER,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 10/01/2010,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415049,HEBERT NURSING HOME,180 LOG ROAD,SMITHFIELD,RI,02917,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"BARNHILL, JEFFERY",NO PERCENTAGE PROVIDED,since 07/09/2010,"180 LOG ROAD SMITHFIELD, RI 02917 (41.910336, -71.551313)",10/01/2018
415032,CEDAR CREST NURSING CENTRE INC,125 SCITUATE AVENUE,CRANSTON,RI,02920,MANAGING EMPLOYEE,Individual,"PEZZELLI WHIPPLE, SUSAN",NOT APPLICABLE,since 03/29/1991,"125 SCITUATE AVENUE CRANSTON, RI 02920 (41.778839, -71.479833)",10/01/2018
415029,GOLDEN CREST NURSING CENTRE,100 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,02904,DIRECTOR,Individual,"PEZZELLI, NORMA",NOT APPLICABLE,since 09/01/1969,"100 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.856041, -71.44898)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,OPERATIONAL/MANAGERIAL CONTROL,Organization,GENESIS HEALTHCARE LLC,NOT APPLICABLE,since 04/01/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,DIRECTOR,Individual,"SCOTT, KENNETH",NOT APPLICABLE,since 08/04/2010,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415074,VILLAGE HOUSE CONVALESCENT HOME INC,70 HARRISON AVENUE,NEWPORT,RI,02840,OFFICER,Individual,"RYAN, SALLY",NOT APPLICABLE,since 01/01/1974,"70 HARRISON AVENUE NEWPORT, RI 02840 (41.471447, -71.322583)",10/01/2018
415056,EVERGREEN HOUSE HEALTH CENTER,1 EVERGREEN DRIVE,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"HENRY, TERRY",NOT APPLICABLE,since 08/16/1999,"1 EVERGREEN DRIVE EAST PROVIDENCE, RI 02914 (41.807101, -71.34483)",10/01/2018
415059,ORCHARD VIEW MANOR,135 TRIPPS LANE,EAST PROVIDENCE,RI,02915,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"SOUCEY, DEBRA",7%,since 09/30/2013,"135 TRIPPS LANE EAST PROVIDENCE, RI 02915 (41.790597, -71.35526)",10/01/2018
415010,SAINT ELIZABETH HOME EAST GREENWICH,1 SAINT ELIZABETH WAY,EAST GREENWICH,RI,02818,OPERATIONAL/MANAGERIAL CONTROL,Individual,"FRENCH, JEFFREY",NOT APPLICABLE,since 01/26/2015,"1 SAINT ELIZABETH WAY EAST GREENWICH, RI 02818 (41.639386, -71.472683)",10/01/2018
415051,SCANDINAVIAN HOME INC,1811 BROAD STREET,CRANSTON,RI,02905,MANAGING EMPLOYEE,Individual,"WOULFE, JOHN",NOT APPLICABLE,since 01/01/2014,"1811 BROAD STREET CRANSTON, RI 02905 (41.776444, -71.399576)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,DIRECTOR,Individual,"FISHMAN, STEVEN",NOT APPLICABLE,since 12/31/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,02893,MANAGING EMPLOYEE,Individual,"HALL, HUGH",NOT APPLICABLE,since 02/01/2018,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415057,ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,55 SCALLOP SHELL WAY,SOUTH KINGSTOWN,RI,02883,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"COLE, WARREN",50%,since 07/01/2010,"55 SCALLOP SHELL WAY SOUTH KINGSTOWN, RI 02883 (41.451253, -71.490744)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,OFFICER,Individual,"WHITMAN, ARNOLD",NOT APPLICABLE,since 12/31/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415045,OVERLOOK NURSING AND REHABILITATION CENTER,14 ROCK AVENUE,PASCOAG,RI,02859,MANAGING EMPLOYEE,Individual,"KENOIAN, CHARLES",NOT APPLICABLE,since 01/23/1991,"14 ROCK AVENUE PASCOAG, RI 02859 (41.955041, -71.706332)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,OFFICER,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 12/01/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415050,SAINT ELIZABETH MANOR EAST BAY,1 DAWN HILL,BRISTOL,RI,02809,MANAGING EMPLOYEE,Individual,"RUSSELL, ELIZABETH",NOT APPLICABLE,since 02/17/1994,"1 DAWN HILL BRISTOL, RI 02809 (41.689081, -71.264478)",10/01/2018
415023,SUNNY VIEW NURSING HOME INC,83 CORONA STREET,WARWICK,RI,02886,OFFICER,Individual,"MAGUIRE, DEBRA",NOT APPLICABLE,since 01/01/2014,"83 CORONA STREET WARWICK, RI 02886 (41.723183, -71.459285)",10/01/2018
415023,SUNNY VIEW NURSING HOME INC,83 CORONA STREET,WARWICK,RI,02886,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,ESTATE OF PATRICIA MIGA,50%,since 11/17/2013,"83 CORONA STREET WARWICK, RI 02886 (41.723183, -71.459285)",10/01/2018
415024,HALLWORTH HOUSE,66 BENEFIT STREET,PROVIDENCE,RI,02904,DIRECTOR,Individual,"IGOE, STEPHANIE",NOT APPLICABLE,since 04/26/2016,"66 BENEFIT STREET PROVIDENCE, RI 02904 (41.831856, -71.409359)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,OFFICER,Individual,"EDWARDS, JAN",NOT APPLICABLE,since 03/02/2015,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"AUERBACH, DAVID",NO PERCENTAGE PROVIDED,since 09/09/1977,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,OFFICER,Individual,"ZIEGLER, JAMES",NOT APPLICABLE,since 08/16/1999,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415049,HEBERT NURSING HOME,180 LOG ROAD,SMITHFIELD,RI,02917,OPERATIONAL/MANAGERIAL CONTROL,Organization,ASLC RI II LLC,NOT APPLICABLE,since 07/09/2010,"180 LOG ROAD SMITHFIELD, RI 02917 (41.910336, -71.551313)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,MANAGING EMPLOYEE,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 04/01/2011,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415060,AVALON NURSING HOME,57 STOKES STREET,WARWICK,RI,02889,OFFICER,Individual,"KOWALIK, DAVID",NOT APPLICABLE,since 07/07/2014,"57 STOKES STREET WARWICK, RI 02889 (41.719088, -71.375566)",10/01/2018
415060,AVALON NURSING HOME,57 STOKES STREET,WARWICK,RI,02889,MANAGING EMPLOYEE,Individual,"KOWALIK, DAVID",NOT APPLICABLE,since 07/07/2014,"57 STOKES STREET WARWICK, RI 02889 (41.719088, -71.375566)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GHC HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 01/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415073,JEANNE JUGAN RESIDENCE,964 MAIN STREET,PAWTUCKET,RI,02860,OFFICER,Individual,"MCPHILLIPS, MARY",NOT APPLICABLE,since 01/01/2014,"964 MAIN STREET PAWTUCKET, RI 02860 (41.865235, -71.399241)",10/01/2018
415070,"CRESTWOOD NURSING & REHABILIATION CENTER, INC",568 CHILD STREET,WARREN,RI,02885,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"MINASSIAN, HARRY",26%,since 11/01/1979,"568 CHILD STREET WARREN, RI 02885 (41.731939, -71.255126)",10/01/2018
415033,HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,398 BELLEVUE AVENUE,NEWPORT,RI,02840,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"WALKUSKI, THOMAS",NO PERCENTAGE PROVIDED,since 05/01/2014,"398 BELLEVUE AVENUE NEWPORT, RI 02840 (41.477036, -71.307969)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WHITMAN, ARNOLD",NO PERCENTAGE PROVIDED,since 12/31/2011,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SKILLED HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"MASSEMINO, LUCILLE",NO PERCENTAGE PROVIDED,since 01/01/1986,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/01/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,02842,OFFICER,Individual,"LABATE, WENDY",NOT APPLICABLE,since 12/01/2012,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,OFFICER,Individual,"HIRSCHFELD, DANIEL",NOT APPLICABLE,since 12/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,OFFICER,Individual,"CROSS, CINDY",NOT APPLICABLE,since 04/21/1994,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,OFFICER,Individual,"HUNTER, BEECHER",NOT APPLICABLE,since 08/16/2006,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WHITMAN, ARNOLD",NO PERCENTAGE PROVIDED,since 12/31/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,OFFICER,Individual,"SCHUEFTAN, NORMAN",NOT APPLICABLE,since 12/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
